pdf,global_id,dataset,well_name,locid,parlabel,parvq,risunits,logdate,lat,long,ns
null,11121280,FRACK,Seneca Resources Corporation,35,!FRANKEL B! 35 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4761579,-118.86726,1
Y,03047540,FRACK,Aera Energy LLC,7266C,!LOST HILLS ONE! 7266C - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.60965,-119.71866,1
Y,03049342,FRACK,Aera Energy LLC,712GL-29 ,WELL # 712GL-29 ,=,null,BELRIDGE SOUTH OILFIELD,35.468119,-119.74165,1
Y,03048836,FRACK,Aera Energy LLC,550S4-35,WELL # 550S4-35,=,null,BELRIDGE NORTH OILFIELD,35.530064,-119.78219,1
null,03049928,FRACK,Occidental Oil and Gas ,Purple Tiger 12H ,WELL # PURPLE TIGER 12H ,=,null,ROSE OILFIELD,35.62961,-119.34423,1
null,11120715,FRACK,Seneca Resources Corporation,1,!T. G.-R.R.! 1 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4929079,-118.88633,1
Y,03045258,FRACK,Aera Energy LLC,522NR3-29,WELL # 522NR3-29 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.467224,-119.73956,1
null,03028995,FRACK,Berry Petroleum Company,407,!ETHEL D! 407 - NOT DIRECTIONALLY DRILLED,=,null,MIDWAY-SUNSET OILFIELD,35.0780309,-119.38588,1
null,03045979,FRACK,Aera Energy LLC,973ER-33,WELL # 973ER-33 - NOT DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,34.451521,-119.71183,1
null,11120440,FRACK,Vintage Production California LLC,46,!HAMP! 46 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4349836,-119.09595,1
Y,03044262,FRACK,Aera Energy LLC,65WE-19,!ELLIS! 65WE-19 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.476603,-119.74813,1
Y,03048036,FRACK,Aera Energy LLC,918B1-28,WELL # 918B1-28 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.456204,-119.72501,1
Y,03048601,FRACK,Aera Energy LLC,7006D-3,!BELRIDGE III! 7006D-3,=,null,BELRIDGE SOUTH OILFIELD,35.440581,-119.69996,1
Y,03047539,FRACK,Aera Energy LLC,7173B,!LOST HILLS ONE! 7173B - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.611793,-119.72329,1
Y,03050197,FRACK,Aera Energy LLC,986DR-33 ,WELL # 986DR-33 ,=,null,BELRIDGE SOUTH OILFIELD,35.446647,-119.70762,1
null,11121442,FRACK,Seneca Resources Corporation,43,!FRANKEL B! 43 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4762279,-118.86734,1
Y,03048931,FRACK,Aera Energy LLC,926P-18 ,WELL # 926P-18 ,=,null,BELRIDGE SOUTH OILFIELD,35.488836,-119.75687,1
Y,03047983,FRACK,Chevron USA Inc. ,4 5-7I ,WELL # 4 5-7I ,=,null,LOST HILLS OILFIELD,35.606618,-119.71760,1
null,11120126,FRACK,Seneca Resources Corporation,7,!FRANKEL! 7 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4800648,-118.87769,1
null,11120477,FRACK,Oryx Energy Company,54,!HAMP! 54 - DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4351660,-119.09591,1
null,11120563,FRACK,Seneca Resources Corporation,86-29,!SHALE RIDGE! 86-29 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4859134,-118.88508,1
Y,03047324,FRACK,Aera Energy LLC,7312D-2,!BELRIDGE I! 7312D-2 - DIRECTIONALLY DRILLED,=,null,BELRIDGE SOUTH OILFIELD,35.434245,-119.68599,1
